"resources__accountId","eventVersion","userIdentity__type","userIdentity__invokedBy","userIdentity__principalId","userIdentity__arn","userIdentity__accountId","userIdentity__accessKeyId","userIdentity__userName","userIdentity__sessionContext__attributes__creationDate","userIdentity__sessionContext__attributes__mfaAuthenticated","eventTime","eventSource","eventName","awsRegion","sourceIPAddress","userAgent","requestParameters__list-type","requestParameters__bucketName","requestParameters__max-keys","requestParameters__fetch-owner","requestParameters__prefix","requestParameters__delimiter","requestParameters__Host","requestParameters__x-amz-acl","requestParameters__x-amz-server-side-encryption","requestParameters__key","responseElements__x-amz-server-side-encryption","responseElements","additionalEventData__SignatureVersion","additionalEventData__CipherSuite","additionalEventData__bytesTransferredIn","additionalEventData__SSEApplied","additionalEventData__AuthenticationMethod","additionalEventData__x-amz-id-2","additionalEventData__bytesTransferredOut","requestID","eventID","readOnly","resources__type","resources__ARN","resources__ARNPrefix","eventType","managementEvent","recipientAccountId","sharedEventID","vpcEndpointId","eventCategory"
"","1.07","IAMUser","","AIDAVSNZ3VLF6GST3KUR4","arn:aws:iam::383178746571:user/CloudTrail","383178746571","ASIAVSNZ3VLFRBSIWNGH","CloudTrail","2020-07-14T04:42:47Z","false","2020-07-14T04:44:07Z","s3.amazonaws.com","HeadBucket","us-east-1","191.89.101.45","[S3Console/0.4, aws-internal/3 aws-sdk-java/1.11.783 Linux/4.9.217-0.1.ac.205.84.332.metal1.x86_64 OpenJDK_64-Bit_Server_VM/25.252-b09 java/1.8.0_252 vendor/Oracle_Corporation]","","udacity-cloudtraillogs","","","","","s3.amazonaws.com","","","","","null","SigV4","ECDHE-RSA-AES128-SHA","0.0","","AuthHeader","uqwzWyC9o4h9RsVcJEOMT0IewmK6uzwGzStEcQUqWGqlq+qsMssOoRx9o4TYyEX1LK86R/FXXKc=","0.0","2F2447818E5E207B","fec7f4e9-98f7-4f64-9554-249f0c076b0d","True","AWS::S3::Object","","arn:aws:s3:::udacity-cloudtraillogs/","AwsApiCall","False","383178746571","","vpce-f40dc59d","Data"
"383178746571","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","AWS::S3::Bucket","arn:aws:s3:::udacity-cloudtraillogs","","","","","","",""
"","1.07","IAMUser","","AIDAVSNZ3VLF6GST3KUR4","arn:aws:iam::383178746571:user/CloudTrail","383178746571","ASIAVSNZ3VLFRBSIWNGH","CloudTrail","2020-07-14T04:42:47Z","false","2020-07-14T04:44:07Z","s3.amazonaws.com","ListObjects","us-east-1","191.89.101.45","[S3Console/0.4, aws-internal/3 aws-sdk-java/1.11.783 Linux/4.9.217-0.1.ac.205.84.332.metal1.x86_64 OpenJDK_64-Bit_Server_VM/25.252-b09 java/1.8.0_252 vendor/Oracle_Corporation]","2","udacity-cloudtraillogs","300","true","AWSLogs/383178746571/CloudTrail/","/","s3.amazonaws.com","","","","","null","SigV4","ECDHE-RSA-AES128-SHA","0.0","","AuthHeader","kjrruhB8Ah7o3ZBV9ZaebhhadW+r/tdUEQacklub44vEOE3QeovOc4OjINnt1Bt6ZfDuUjNnISg=","533.0","69A5A5D3FE60CC42","6111e344-fe3f-4272-a57a-3bda9e70fcf6","True","AWS::S3::Object","","arn:aws:s3:::udacity-cloudtraillogs/AWSLogs/383178746571/CloudTrail/","AwsApiCall","False","383178746571","","vpce-f40dc59d","Data"
"383178746571","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","AWS::S3::Bucket","arn:aws:s3:::udacity-cloudtraillogs","","","","","","",""
"","1.07","IAMUser","","AIDAVSNZ3VLF6GST3KUR4","arn:aws:iam::383178746571:user/CloudTrail","383178746571","ASIAVSNZ3VLFRBSIWNGH","CloudTrail","2020-07-14T04:42:47Z","false","2020-07-14T04:44:07Z","s3.amazonaws.com","HeadBucket","us-east-1","191.89.101.45","[S3Console/0.4, aws-internal/3 aws-sdk-java/1.11.783 Linux/4.9.217-0.1.ac.205.84.332.metal1.x86_64 OpenJDK_64-Bit_Server_VM/25.252-b09 java/1.8.0_252 vendor/Oracle_Corporation]","","udacity-cloudtraillogs","","","","","s3.amazonaws.com","","","","","null","SigV4","ECDHE-RSA-AES128-SHA","0.0","","AuthHeader","TydFRLysTswfLjcVRUn/XIHoNTUNmFbCu6Nx7JD64ppBjYcfBF8iqPvsXzk8FSBR1GOrujlxLto=","0.0","3F67B252A32C23B2","d1ab03f4-84b2-4724-80e4-c2197a5f672d","True","AWS::S3::Object","","arn:aws:s3:::udacity-cloudtraillogs/","AwsApiCall","False","383178746571","","vpce-f40dc59d","Data"
"383178746571","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","AWS::S3::Bucket","arn:aws:s3:::udacity-cloudtraillogs","","","","","","",""
"","1.07","IAMUser","","AIDAVSNZ3VLF6GST3KUR4","arn:aws:iam::383178746571:user/CloudTrail","383178746571","ASIAVSNZ3VLFRBSIWNGH","CloudTrail","2020-07-14T04:42:47Z","false","2020-07-14T04:44:07Z","s3.amazonaws.com","HeadBucket","us-east-1","191.89.101.45","[S3Console/0.4, aws-internal/3 aws-sdk-java/1.11.783 Linux/4.9.217-0.1.ac.205.84.332.metal1.x86_64 OpenJDK_64-Bit_Server_VM/25.252-b09 java/1.8.0_252 vendor/Oracle_Corporation]","","udacity-cloudtraillogs","","","","","s3.amazonaws.com","","","","","null","SigV4","ECDHE-RSA-AES128-SHA","0.0","","AuthHeader","pmfPFgEf7A327EBMcw4EemjQcQH6VSdfne6GyMNizOePoLdk3xmkprjTaOtB7wq2rXHf47vMYFk=","0.0","24BB182EF009C0CB","f7156e46-20b9-4a0e-9d78-673796917357","True","AWS::S3::Object","","arn:aws:s3:::udacity-cloudtraillogs/","AwsApiCall","False","383178746571","","vpce-f40dc59d","Data"
"383178746571","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","AWS::S3::Bucket","arn:aws:s3:::udacity-cloudtraillogs","","","","","","",""
"","1.07","IAMUser","","AIDAVSNZ3VLF6GST3KUR4","arn:aws:iam::383178746571:user/CloudTrail","383178746571","ASIAVSNZ3VLFRBSIWNGH","CloudTrail","2020-07-14T04:42:47Z","false","2020-07-14T04:44:10Z","s3.amazonaws.com","ListObjects","us-east-1","191.89.101.45","[S3Console/0.4, aws-internal/3 aws-sdk-java/1.11.783 Linux/4.9.217-0.1.ac.205.84.332.metal1.x86_64 OpenJDK_64-Bit_Server_VM/25.252-b09 java/1.8.0_252 vendor/Oracle_Corporation]","2","udacity-cloudtraillogs","300","true","AWSLogs/383178746571/","/","s3.amazonaws.com","","","","","null","SigV4","ECDHE-RSA-AES128-SHA","0.0","","AuthHeader","6vn0VaDPlFt9UkKs5A29Ck/nLUfbQZPOua0ezlJ1W6kiPjn+m0YHC7qy2nQoRxjMaFw90NiC7hg=","468.0","CE705E3A376A3E2E","27c97145-b35e-473d-bdd2-c1c6d90a01c3","True","AWS::S3::Object","","arn:aws:s3:::udacity-cloudtraillogs/AWSLogs/383178746571/","AwsApiCall","False","383178746571","","vpce-f40dc59d","Data"
"383178746571","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","AWS::S3::Bucket","arn:aws:s3:::udacity-cloudtraillogs","","","","","","",""
"","1.07","AWSService","cloudtrail.amazonaws.com","","","","","","","","2020-07-14T04:44:13Z","s3.amazonaws.com","PutObject","us-east-1","cloudtrail.amazonaws.com","cloudtrail.amazonaws.com","","udacity-cloudtraillogs","","","","","udacity-cloudtraillogs.s3.us-east-1.amazonaws.com","bucket-owner-full-control","AES256","AWSLogs/383178746571/CloudTrail/us-east-1/2020/07/14/383178746571_CloudTrail_us-east-1_20200714T0440Z_ItOU1sOBORklz5lY.json.gz","AES256","","SigV4","ECDHE-RSA-AES128-SHA","853.0","SSE_S3","AuthHeader","PowijJTApYmiTu3tAxj7Rze2byOExw0fxy+5s1VWKd8vwrT28nmUqpxt4VjgtlnZCW970OhMqkU=","0.0","13E0A7D4DD169007","11f7022f-cd4b-44bb-8889-5cdd74507a2b","False","AWS::S3::Object","arn:aws:s3:::udacity-cloudtraillogs/AWSLogs/383178746571/CloudTrail/us-east-1/2020/07/14/383178746571_CloudTrail_us-east-1_20200714T0440Z_ItOU1sOBORklz5lY.json.gz","","AwsApiCall","False","383178746571","843a8729-18e5-46ab-90ba-a4bee4fe7705","","Data"
"383178746571","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","AWS::S3::Bucket","arn:aws:s3:::udacity-cloudtraillogs","","","","","","",""
