Group hierarchy,Region,Service,Upfront,Monthly,First 12 months total,Currency,Configuration summary
Reduced_Cost_Estimate,US East (N. Virginia),Amazon Aurora MySQL-Compatible,0,2609.24,31310.88,USD,"Change records per statement (0.38), (3 instances)  db.r5.xlarge  Memory optimized  OnDemand, Storage amount (10 TB), Additional backup storage (10 TB), Number of I/Os per month in millions (500)"
Reduced_Cost_Estimate,US East (N. Virginia),Elastic Load Balancing,0,250.03,3000.36,USD,Number of Application Load Balancers (1)
Reduced_Cost_Estimate,US East (N. Virginia),Elastic Load Balancing,0,25.19,302.28,USD,"Number of Network Load Balancers (1), Processed bytes per NLB for TCP (2 GB per hour), Average number of new TCP connections (1000 per second), Average TCP connection duration (1 seconds)"
Reduced_Cost_Estimate,US East (N. Virginia),Amazon Virtual Private Cloud (VPC),0,263.25,3159,USD,Number of NAT Gateways (1)
Reduced_Cost_Estimate,US East (N. Virginia),S3 Standard,0,313.86,3766.32,USD,S3 Standard storage (10 TB per month)
Reduced_Cost_Estimate,US East (N. Virginia),Data Transfer,0,0,0,USD," Inbound (from: Not selected) 0 TB per month 
 Outbound (to: Not selected) 0 TB per month 
"
Reduced_Cost_Estimate,US East (N. Virginia),Amazon EC2,0,1161.66,13939.92,USD,"Operating system (Linux), Quantity (12), Storage for each EC2 instance (General Purpose SSD (gp2)), Storage amount (30 GB), Instance type (a1.2xlarge)"
Reduced_Cost_Estimate,US East (N. Virginia),AWS Data Transfer,0,1791.91,21502.92,USD," Inbound (from: Not selected) 0 TB per month 
 Outbound (to: Internet) 20 TB per month 
 Intra-Region 0 TB per month 
"
,,,,,,,
,,,,,,,
,,,,,,,
"AWS Pricing Calculator provides only an estimate of your AWS fees and doesn't include any taxes that might apply. Your actual fees depend on a variety of factors, including your actual usage of AWS services.",,,,,,,
,,,,,,,
Rationale:,,,,,,,
"The requirements are somehow vague and not very specific, ",,,,,,,
so its kind of hard to determine where optimizations can be done.,,,,,,,
If the cost needs to be reduced to $6.500 I will reduce:,,,,,,,
The number of database nodes but not their storage capacity.,,,,,,,
The number of EC2 instances,,,,,,,
