Event ID,Event time,User name,Event name,Resource type,Resources,AWS access key,AWS region,Error code,Source IP address
1cf5b1dc-030c-4591-9ed6-fefac41e8899,"2020-07-16, 08:29:38 AM",root,ConsoleLogin,,,,us-east-1,,191.89.101.45
c15fbda6-948f-4e30-b77f-602b2438aaef,"2020-07-15, 08:26:23 PM",CloudTrail,ConsoleLogin,,,,us-east-1,,191.89.101.45
6b6eb699-8e2e-4799-8155-2e838fa91adf,"2020-07-15, 08:26:01 PM",CloudTrail,ConsoleLogin,,,,us-east-1,,191.89.101.45
34c533bc-78e5-4c72-b7d1-1f2ae726de77,"2020-07-15, 07:53:13 PM",CloudTrail,DeleteTrail,CloudTrail Trail,"[{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""arn:aws:cloudtrail:us-east-1:383178746571:trail/Udacity_Trail""}]",,us-east-1,,191.89.101.45
0b7e7c97-888c-415a-8ecd-ca967229bcae,"2020-07-15, 03:51:40 PM",CloudTrail,StopLogging,CloudTrail Trail,"[{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""arn:aws:cloudtrail:us-east-1:383178746571:trail/Udacity_Trail""}]",,us-east-1,,191.89.101.45
17ef53af-8f76-474b-abdb-4e42c12dec7f,"2020-07-15, 03:42:00 PM",CloudTrail,StartLogging,CloudTrail Trail,"[{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""Udacity_Trail""}]",,us-east-1,,191.89.101.45
29d9d564-e940-4d81-9584-67f83ab0c9a9,"2020-07-15, 03:42:00 PM",CloudTrail,CreateTrail,CloudTrail Trail and 1 more,"[{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""Udacity_Trail""},{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""arn:aws:cloudtrail:us-east-1:383178746571:trail/Udacity_Trail""},{""resourceType"":""AWS::S3::Bucket"",""resourceName"":""ct-udacity-logs""}]",,us-east-1,,191.89.101.45
521aff09-2f1d-43c2-bc2c-2ad3ed38ba9f,"2020-07-15, 03:42:00 PM",CloudTrail,PutBucketPolicy,S3 Bucket,"[{""resourceType"":""AWS::S3::Bucket"",""resourceName"":""ct-udacity-logs""}]",,us-east-1,,191.89.101.45
5318a8af-df0f-4cab-8ea9-7226d958f869,"2020-07-15, 03:42:00 PM",CloudTrail,PutEventSelectors,CloudTrail Trail,"[{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""Udacity_Trail""},{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""arn:aws:cloudtrail:us-east-1:383178746571:trail/Udacity_Trail""}]",,us-east-1,,191.89.101.45
4889ff71-dfb5-4555-a5c1-fbb2c6e9d9cc,"2020-07-15, 03:41:59 PM",CloudTrail,CreateBucket,S3 Bucket,"[{""resourceType"":""AWS::S3::Bucket"",""resourceName"":""ct-udacity-logs""}]",,us-east-1,,191.89.101.45
52aeecb9-bbb0-4555-ae79-15e267cc3449,"2020-07-15, 03:40:08 PM",CloudTrail,ChangePassword,,,,us-east-1,,AWS Internal
49c33626-5d92-4239-87ee-74f6c95c4080,"2020-07-15, 03:39:53 PM",CloudTrail,ConsoleLogin,,,,us-east-1,,191.89.101.45
b1d90050-f023-468a-906b-c02d437ed124,"2020-07-15, 03:39:09 PM",Accountant,ChangePassword,,,,us-east-1,,AWS Internal
bdb4fe5d-272f-44e9-8dce-93bd0d4363a4,"2020-07-15, 03:38:47 PM",Accountant,ConsoleLogin,,,,us-east-1,,191.89.101.45
6335b165-2856-49be-a7b7-e6c2f2eee5d5,"2020-07-15, 03:36:19 PM",root,AddUserToGroup,IAM User and 1 more,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""Accountant""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""Reviewers""}]",,us-east-1,,191.89.101.45
805cab48-7777-4ebe-9f81-7ae3575844c6,"2020-07-15, 03:36:19 PM",root,CreateLoginProfile,IAM User,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""Accountant""}]",,us-east-1,,191.89.101.45
5220958a-4ea7-447f-9f00-9a0efaa405ba,"2020-07-15, 03:36:18 PM",root,CreateUser,IAM User,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""arn:aws:iam::383178746571:user/Accountant""},{""resourceType"":""AWS::IAM::User"",""resourceName"":""Accountant""},{""resourceType"":""AWS::IAM::User"",""resourceName"":""AIDAVSNZ3VLF5Q76EVCTC""}]",,us-east-1,,191.89.101.45
