"eventVersion","userIdentity__type","userIdentity__principalId","userIdentity__arn","userIdentity__accountId","userIdentity__accessKeyId","userIdentity__userName","userIdentity__invokedBy","userIdentity__sessionContext__attributes__mfaAuthenticated","userIdentity__sessionContext__attributes__creationDate","eventTime","eventSource","eventName","awsRegion","sourceIPAddress","userAgent","requestParameters__X-Amz-Date","requestParameters__list-type","requestParameters__name","requestParameters__eventCategory","requestParameters__lookupAttributes__attributeKey","requestParameters__lookupAttributes__attributeValue","requestParameters__maxResults","requestParameters__encryptionContext__aws:lambda:FunctionArn","requestParameters__encryptionAlgorithm","requestParameters__includeShadowTrails","requestParameters__groupName","requestParameters__userName","requestParameters__policyArn","requestParameters__maxItems","requestParameters","responseElements__ConsoleLogin","additionalEventData__LoginTo","additionalEventData__MobileVersion","additionalEventData__MFAUsed","requestParameters__aggregateField","requestParameters__filter__eventStatusCodes__001","requestParameters__filter__eventStatusCodes__002","requestParameters__filter__startTimes__from","requestParameters__durationSeconds","responseElements__credentials__accessKeyId","responseElements__credentials__expiration","responseElements__credentials__sessionToken","requestParameters__bucket__-","errorCode","errorMessage","requestParameters__policyStatus__-","requestParameters__encryption__-","requestParameters__publicAccessBlock__-","requestParameters__host__-","requestParameters__policy__-","requestParameters__maxResults__-","requestParameters__bucketName","requestParameters__X-Amz-Algorithm","requestParameters__response-content-disposition","requestParameters__X-Amz-SignedHeaders","requestParameters__max-keys","requestParameters__fetch-owner","requestParameters__prefix","requestParameters__delimiter","requestParameters__Host","requestParameters__X-Amz-Expires","requestParameters__versions","requestParameters__acl","requestParameters__x-amz-acl","requestParameters__x-amz-server-side-encryption","requestParameters__key","responseElements__x-amz-server-side-encryption","requestParameters__bucketPolicy__Version","requestParameters__bucketPolicy__Statement__Sid","requestParameters__bucketPolicy__Statement__Effect","requestParameters__bucketPolicy__Statement__Principal__Service","requestParameters__bucketPolicy__Statement__Action","requestParameters__bucketPolicy__Statement__Resource","requestParameters__bucketPolicy__Statement__Condition__StringEquals__s3:x-amz-acl","requestParameters__versioning__-","requestParameters__acl__-","responseElements","additionalEventData__SignatureVersion","additionalEventData__CipherSuite","additionalEventData__bytesTransferredIn","additionalEventData__SSEApplied","additionalEventData__AuthenticationMethod","additionalEventData__x-amz-id-2","additionalEventData__bytesTransferredOut","additionalEventData__vpcEndpointId","requestID","eventID","readOnly","resources__accountId","resources__type","resources__ARNPrefix","resources__ARN","eventType","managementEvent","recipientAccountId","sharedEventID","vpcEndpointId","eventCategory"
"1.05","Root","383178746571","arn:aws:iam::383178746571:root","383178746571","ASIAVSNZ3VLF5AU5YAVB","ctr1","","true","2020-07-15T20:29:16Z","2020-07-15T20:29:33Z","s3.amazonaws.com","GetBucketAcl","us-east-1","191.89.101.45","[S3Console/0.4, aws-internal/3 aws-sdk-java/1.11.783 Linux/4.9.217-0.1.ac.205.84.332.metal1.x86_64 OpenJDK_64-Bit_Server_VM/25.252-b09 java/1.8.0_252 vendor/Oracle_Corporation]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","udacity-cloudtraillogs.s3.us-east-1.amazonaws.com","","","udacity-cloudtraillogs","","","","","","","","","","","","","","","","","","","","","","","","","null","SigV4","ECDHE-RSA-AES128-SHA","","","AuthHeader","","","vpce-f40dc59d","9B015CB7EF06AB26","af0304f0-b7d8-4375-bf3c-a752255531bd","","","","","","AwsApiCall","","383178746571","","vpce-f40dc59d",""
"1.05","Root","383178746571","arn:aws:iam::383178746571:root","383178746571","ASIAVSNZ3VLF5AU5YAVB","ctr1","","true","2020-07-15T20:29:16Z","2020-07-15T20:29:32Z","s3.amazonaws.com","GetAccountPublicAccessBlock","us-east-1","191.89.101.45","[S3Console/0.4, aws-internal/3 aws-sdk-java/1.11.783 Linux/4.9.217-0.1.ac.205.84.332.metal1.x86_64 OpenJDK_64-Bit_Server_VM/25.252-b09 java/1.8.0_252 vendor/Oracle_Corporation]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","NoSuchPublicAccessBlockConfiguration","The public access block configuration was not found","","","","383178746571.s3-control.us-east-1.amazonaws.com","","","","","","","","","","","","","","","","","","","","","","","","","","","","null","SigV4","ECDHE-RSA-AES128-SHA","","","AuthHeader","","","vpce-f40dc59d","37652673D5BE577C","c28965cb-964c-458b-af68-97d453c36d40","","","","","","AwsApiCall","","383178746571","","vpce-f40dc59d",""
"1.05","Root","383178746571","arn:aws:iam::383178746571:root","383178746571","ASIAVSNZ3VLF5AU5YAVB","ctr1","","true","2020-07-15T20:29:16Z","2020-07-15T20:29:35Z","s3.amazonaws.com","GetBucketPublicAccessBlock","us-east-1","191.89.101.45","[S3Console/0.4, aws-internal/3 aws-sdk-java/1.11.783 Linux/4.9.217-0.1.ac.205.84.332.metal1.x86_64 OpenJDK_64-Bit_Server_VM/25.252-b09 java/1.8.0_252 vendor/Oracle_Corporation]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","NoSuchPublicAccessBlockConfiguration","The public access block configuration was not found","","","","udacity-cloudtraillogs.s3.us-east-1.amazonaws.com","","","udacity-cloudtraillogs","","","","","","","","","","","","","","","","","","","","","","","","","null","SigV4","ECDHE-RSA-AES128-SHA","","","AuthHeader","","","vpce-f40dc59d","3C0FD9440FD8E0A7","d685ec78-8edd-4632-a699-e7babcae91e2","","","","","","AwsApiCall","","383178746571","","vpce-f40dc59d",""
"1.05","Root","383178746571","arn:aws:iam::383178746571:root","383178746571","ASIAVSNZ3VLF5AU5YAVB","ctr1","","true","2020-07-15T20:29:16Z","2020-07-15T20:29:39Z","s3.amazonaws.com","GetBucketPublicAccessBlock","us-east-1","191.89.101.45","[S3Console/0.4, aws-internal/3 aws-sdk-java/1.11.783 Linux/4.9.217-0.1.ac.205.84.332.metal1.x86_64 OpenJDK_64-Bit_Server_VM/25.252-b09 java/1.8.0_252 vendor/Oracle_Corporation]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","NoSuchPublicAccessBlockConfiguration","The public access block configuration was not found","","","","udacity-cloudtraillogs.s3.us-east-1.amazonaws.com","","","udacity-cloudtraillogs","","","","","","","","","","","","","","","","","","","","","","","","","null","SigV4","ECDHE-RSA-AES128-SHA","","","AuthHeader","","","vpce-f40dc59d","6F99F7E6638F0B3F","47bd659d-51f8-403a-9cd8-f8365b15f665","","","","","","AwsApiCall","","383178746571","","vpce-f40dc59d",""
"1.05","Root","383178746571","arn:aws:iam::383178746571:root","383178746571","ASIAVSNZ3VLF5AU5YAVB","ctr1","","true","2020-07-15T20:29:16Z","2020-07-15T20:29:37Z","s3.amazonaws.com","GetBucketEncryption","us-east-1","191.89.101.45","[S3Console/0.4, aws-internal/3 aws-sdk-java/1.11.783 Linux/4.9.217-0.1.ac.205.84.332.metal1.x86_64 OpenJDK_64-Bit_Server_VM/25.252-b09 java/1.8.0_252 vendor/Oracle_Corporation]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","ServerSideEncryptionConfigurationNotFoundError","The server side encryption configuration was not found","","","","s3.amazonaws.com","","","udacity-cloudtraillogs","","","","","","","","","","","","","","","","","","","","","","","","","null","SigV4","ECDHE-RSA-AES128-SHA","","","AuthHeader","","","vpce-f40dc59d","468367D44D25F614","6f29a515-08e8-4c58-bdd3-44a81039f5bd","","","","","","AwsApiCall","","383178746571","","vpce-f40dc59d",""
"1.05","Root","383178746571","arn:aws:iam::383178746571:root","383178746571","ASIAVSNZ3VLF5AU5YAVB","ctr1","","true","2020-07-15T20:29:16Z","2020-07-15T20:29:23Z","s3.amazonaws.com","GetBucketPublicAccessBlock","us-east-1","191.89.101.45","[S3Console/0.4, aws-internal/3 aws-sdk-java/1.11.783 Linux/4.9.217-0.1.ac.205.84.332.metal1.x86_64 OpenJDK_64-Bit_Server_VM/25.252-b09 java/1.8.0_252 vendor/Oracle_Corporation]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","NoSuchPublicAccessBlockConfiguration","The public access block configuration was not found","","","","elasticbeanstalk-us-east-1-383178746571.s3.us-east-1.amazonaws.com","","","elasticbeanstalk-us-east-1-383178746571","","","","","","","","","","","","","","","","","","","","","","","","","null","SigV4","ECDHE-RSA-AES128-SHA","","","AuthHeader","","","vpce-f40dc59d","CC6E9E64462D95E5","c3ff6413-e1f9-4319-a124-7fa92753ce5b","","","","","","AwsApiCall","","383178746571","","vpce-f40dc59d",""
"1.05","Root","383178746571","arn:aws:iam::383178746571:root","383178746571","ASIAVSNZ3VLF5AU5YAVB","ctr1","","true","2020-07-15T20:29:16Z","2020-07-15T20:29:23Z","s3.amazonaws.com","GetBucketAcl","us-east-1","191.89.101.45","[S3Console/0.4, aws-internal/3 aws-sdk-java/1.11.783 Linux/4.9.217-0.1.ac.205.84.332.metal1.x86_64 OpenJDK_64-Bit_Server_VM/25.252-b09 java/1.8.0_252 vendor/Oracle_Corporation]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","udacity-cloudtraillogs.s3.us-east-1.amazonaws.com","","","udacity-cloudtraillogs","","","","","","","","","","","","","","","","","","","","","","","","","null","SigV4","ECDHE-RSA-AES128-SHA","","","AuthHeader","","","vpce-f40dc59d","CE5A36F212878D69","2c44fb1c-bd07-423d-b2ff-e224ec1c83f0","","","","","","AwsApiCall","","383178746571","","vpce-f40dc59d",""
"1.05","Root","383178746571","arn:aws:iam::383178746571:root","383178746571","ASIAVSNZ3VLF5AU5YAVB","ctr1","","true","2020-07-15T20:29:16Z","2020-07-15T20:29:23Z","s3.amazonaws.com","GetBucketPublicAccessBlock","us-east-1","191.89.101.45","[S3Console/0.4, aws-internal/3 aws-sdk-java/1.11.783 Linux/4.9.217-0.1.ac.205.84.332.metal1.x86_64 OpenJDK_64-Bit_Server_VM/25.252-b09 java/1.8.0_252 vendor/Oracle_Corporation]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","NoSuchPublicAccessBlockConfiguration","The public access block configuration was not found","","","","cloud9-383178746571-sam-deployments-us-east-1.s3.us-east-1.amazonaws.com","","","cloud9-383178746571-sam-deployments-us-east-1","","","","","","","","","","","","","","","","","","","","","","","","","null","SigV4","ECDHE-RSA-AES128-SHA","","","AuthHeader","","","vpce-f40dc59d","381A21CC8B6EBDC0","70949f6b-7b17-4e23-a996-8fd4d4bbe59a","","","","","","AwsApiCall","","383178746571","","vpce-f40dc59d",""
"1.05","Root","383178746571","arn:aws:iam::383178746571:root","383178746571","ASIAVSNZ3VLF5AU5YAVB","ctr1","","true","2020-07-15T20:29:16Z","2020-07-15T20:29:37Z","s3.amazonaws.com","GetAccountPublicAccessBlock","us-east-1","191.89.101.45","[S3Console/0.4, aws-internal/3 aws-sdk-java/1.11.783 Linux/4.9.217-0.1.ac.205.84.332.metal1.x86_64 OpenJDK_64-Bit_Server_VM/25.252-b09 java/1.8.0_252 vendor/Oracle_Corporation]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","NoSuchPublicAccessBlockConfiguration","The public access block configuration was not found","","","","383178746571.s3-control.us-east-1.amazonaws.com","","","","","","","","","","","","","","","","","","","","","","","","","","","","null","SigV4","ECDHE-RSA-AES128-SHA","","","AuthHeader","","","vpce-f40dc59d","F7776EA2DF9287AD","640bc3f6-c032-4936-81ec-a7e2f100bcfc","","","","","","AwsApiCall","","383178746571","","vpce-f40dc59d",""
"1.05","Root","383178746571","arn:aws:iam::383178746571:root","383178746571","ASIAVSNZ3VLF5AU5YAVB","ctr1","","true","2020-07-15T20:29:16Z","2020-07-15T20:29:34Z","s3.amazonaws.com","GetAccountPublicAccessBlock","us-east-1","191.89.101.45","[S3Console/0.4, aws-internal/3 aws-sdk-java/1.11.783 Linux/4.9.217-0.1.ac.205.84.332.metal1.x86_64 OpenJDK_64-Bit_Server_VM/25.252-b09 java/1.8.0_252 vendor/Oracle_Corporation]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","NoSuchPublicAccessBlockConfiguration","The public access block configuration was not found","","","","383178746571.s3-control.us-east-1.amazonaws.com","","","","","","","","","","","","","","","","","","","","","","","","","","","","null","SigV4","ECDHE-RSA-AES128-SHA","","","AuthHeader","","","vpce-f40dc59d","3CE6E572E74A4753","34877129-5018-4545-bd0a-dfaf226d4a71","","","","","","AwsApiCall","","383178746571","","vpce-f40dc59d",""
